"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[nu]"    
          0,           0,          65,      -4.057236979,      -3.602745139,      -4.088566733,       1.402866393,      -8.513990637
          0,           0,          66,      -4.057962028,      -3.612230997,      -4.090677099,       1.402165591,      -8.518952746
          0,           0,          67,      -4.058160942,       -3.62243397,      -4.092347689,       1.401996031,      -8.523948277
          0,           0,          68,      -4.057716231,      -3.633537353,      -4.093919844,       1.402478306,      -8.528966489
          0,           0,          69,      -4.056813378,        -3.6455478,      -4.094528088,       1.403428567,      -8.533987308
          0,           0,          70,      -4.055345099,      -3.658586506,      -4.094188563,       1.404955732,      -8.538956462
          0,           0,          71,      -4.053169471,      -3.672936165,      -4.093712993,       1.407207224,      -8.543855796
          0,           0,          72,      -4.050312857,      -3.688823263,      -4.093598853,       1.410148927,      -8.548614923
          0,           0,          73,      -4.047032578,      -3.706431956,      -4.092897941,       1.413523909,      -8.553303116
          0,           0,          74,      -4.043483741,      -3.726331459,      -4.091573853,       1.417170204,      -8.558011569
          0,           0,          75,      -4.040003898,      -3.748151256,      -4.089332675,       1.420758948,      -8.562711387
          0,           0,          76,      -4.036847024,      -3.771666974,      -4.085827658,       1.424024155,      -8.567399589
          0,           0,          77,      -4.034099382,      -3.796501486,      -4.081442231,       1.426873514,      -8.572114272
          0,           0,          78,      -4.032131329,      -3.821049536,      -4.076465914,       1.428943173,        -8.5769149
          0,           0,          79,      -4.031069797,       -3.84502849,      -4.071557424,       1.430079238,      -8.581627471
          0,           0,          80,      -4.031069644,      -3.866470572,      -4.066224827,       1.430151707,      -8.586248689
          0,           0,          81,      -4.031833963,      -3.884311046,      -4.060990952,       1.429451874,      -8.590813016
          0,           0,          82,      -4.033596829,      -3.896760774,       -4.05546448,       1.427748864,      -8.595292948
          0,           0,          83,      -4.036408092,      -3.902811805,       -4.04965308,       1.424988401,      -8.599648719
          0,           0,          84,      -4.040255209,      -3.902300247,      -4.043505713,       1.421184865,      -8.603865963
          0,           0,          85,      -4.045026631,      -3.896072966,      -4.037148245,        1.41645282,      -8.607951825
          0,           0,          86,      -4.050534398,      -3.885518939,      -4.030749989,       1.410978073,      -8.611893166
          0,           0,          87,      -4.056631516,      -3.872391181,      -4.024373619,        1.40490576,      -8.615676806
          0,           0,          88,      -4.063092014,      -3.858064733,      -4.018103075,       1.398456811,      -8.619298306
          0,           0,          89,      -4.069668449,      -3.843384924,      -4.012129359,       1.391877249,      -8.622764756
          0,           0,          90,      -4.076097631,      -3.829039602,      -4.006669443,       1.385430466,      -8.626076739
          0,           0,          91,      -4.082308929,      -3.815362368,      -4.001672317,       1.379188259,      -8.629268522
          0,           0,          92,      -4.088156457,      -3.802596629,      -3.997375575,       1.373298785,      -8.632399754
          0,           0,          93,      -4.093735183,      -3.790724472,      -3.993419083,         1.3676674,       -8.63554439
          0,           0,          94,      -4.099135613,      -3.779704938,      -3.989561555,       1.362206727,      -8.638763116
          0,           0,          95,      -4.104482612,      -3.769557326,      -3.985663089,       1.356796602,      -8.642129196
          0,           0,          96,      -4.109724159,      -3.759934313,      -3.981917435,       1.351493497,       -8.64573278
          0,           0,          97,      -4.114867552,      -3.750648993,      -3.978322463,       1.346290353,      -8.649660576
          0,           0,          98,      -4.119985904,      -3.741533946,      -3.974835147,       1.341117604,      -8.653997818
          0,           0,          99,      -4.124972599,      -3.732439581,      -3.972408696,       1.336078858,      -8.658853592
